	addr	pc	x	y
39	('10', 'JLN RUMAH TINGGI', 'BUKIT MERAH')	150010	103.808389	1.288333
40	('10', 'JOO SENG RD', 'TOA PAYOH')	360010	103.880202	1.3346799999999999
41	('10', 'LOR 7 TOA PAYOH', 'TOA PAYOH')	310010	103.85728399999999	1.337256
42	('10', 'MARSILING DR', 'WOODLANDS')	730010	103.77736	1.4408159999999999
43	('10', 'PINE CL', 'GEYLANG')	391010	103.882377	1.309129
44	('10', 'REDHILL CL', 'BUKIT MERAH')	151010	103.816141	1.285029
45	('10', 'SELEGIE RD', 'CENTRAL AREA')	180010	103.850501	1.3036780000000001
46	"('10', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320010	103.86335799999999	1.3237370000000002
47	('10', 'TEBAN GDNS RD', 'JURONG EAST')	600010	103.742783	1.322059
48	('10', 'TECK WHYE AVE', 'CHOA CHU KANG')	680010	103.75537	1.380308
49	('10', 'TELOK BLANGAH CRES', 'BUKIT MERAH')	090010	103.81973599999999	1.27786
50	('10', 'TOH YI DR', 'BUKIT TIMAH')	590010	103.77330500000001	1.337858
51	('10', 'UPP BOON KENG RD', 'KALLANG/WHAMPOA')	380010		
52	('10', 'YUNG KUANG RD', 'JURONG WEST')	610010	103.72274399999999	1.3296459999999999
53	('100', 'BEDOK NTH AVE 4', 'BEDOK')	460100	103.938927	1.334337
54	"('100', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140100	103.801161	1.307816
55	('100', 'LOR 1 TOA PAYOH', 'TOA PAYOH')	310100	103.848574	1.339572
56	('100', 'WHAMPOA DR', 'KALLANG/WHAMPOA')	320100	103.854338	1.320805
57	('101', 'AH HOOD RD', 'KALLANG/WHAMPOA')	320101	103.844585	1.327441
58	('101', 'ALJUNIED CRES', 'GEYLANG')	380101	103.883172	1.320899
59	('101', 'ANG MO KIO AVE 3', 'ANG MO KIO')	560101	103.839377	1.3702809999999999
60	('101', 'BEDOK NTH AVE 4', 'BEDOK')	460101	103.937715	1.33444
61	('101', 'BEDOK RESERVOIR RD', 'BEDOK')	470101	103.909942	1.328584
62	('101', 'BISHAN ST 12', 'BISHAN')	570101	103.848384	1.344926
63	('101', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650101	103.746949	1.346892
64	('101', 'BT PURMEI RD', 'BUKIT MERAH')	090101	103.825624	1.2715450000000001
65	"('101', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140101	103.80076	1.308142
66	('101', 'CLEMENTI ST 14', 'CLEMENTI')	120101	103.768856	1.3221969999999998
67	('101', 'GANGSA RD', 'BUKIT PANJANG')	670101	103.767495	1.379311
68	('101', 'HENDERSON CRES', 'BUKIT MERAH')	150101	103.82180600000001	1.290643
69	('101', 'HOUGANG AVE 1', 'HOUGANG')	530101	103.89130899999999	1.355258
70	('101', 'JLN RAJAH', 'KALLANG/WHAMPOA')	321101	103.851038	1.328738
71	('101', 'JURONG EAST ST 13', 'JURONG EAST')	600101	103.738772	1.336971
72	('101', 'LENGKONG TIGA', 'BEDOK')	410101	103.910892	1.325224
