	addr	pc
319	"('109A', 'DEPOT RD', 'BUKIT MERAH')"	101109
320	"('109A', 'EDGEDALE PLAINS', 'PUNGGOL')"	821109
321	"('109B', 'DEPOT RD', 'BUKIT MERAH')"	102109
322	"('109B', 'EDGEDALE PLAINS', 'PUNGGOL')"	822109
323	"('109C', 'EDGEDALE PLAINS', 'PUNGGOL')"	823109
324	"('109D', 'EDGEDALE PLAINS', 'PUNGGOL')"	824109
325	"('10A', 'BOON TIONG RD', 'BUKIT MERAH')"	160010
326	"('10B', 'BEDOK STH AVE 2', 'BEDOK')"	461010
327	"('10B', 'BOON TIONG RD', 'BUKIT MERAH')"	164010
328	"('10B', 'LOR 7 TOA PAYOH', 'TOA PAYOH')"	312010
329	"('10C', 'BEDOK STH AVE 2', 'BEDOK')"	462010
330	"('10D', 'BEDOK STH AVE 2', 'BEDOK')"	463010
331	"('10E', 'BEDOK STH AVE 2', 'BEDOK')"	464010
332	"('10F', 'BEDOK STH AVE 2', 'BEDOK')"	465010
333	"('11', 'CANTONMENT CL', 'BUKIT MERAH')"	80011
334	"('11', 'CHAI CHEE RD', 'BEDOK')"	460011
335	"('11', 'EUNOS CRES', 'GEYLANG')"	400011
336	"('11', 'FARRER PK RD', 'KALLANG/WHAMPOA')"	210011
337	"('11', 'GHIM MOH RD', 'QUEENSTOWN')"	
338	"('11', 'HAIG RD', 'GEYLANG')"	430011
339	"('11', 'HOLLAND DR', 'QUEENSTOWN')"	271011
340	"('11', 'JLN BATU', 'KALLANG/WHAMPOA')"	431011
341	"('11', 'JLN BT MERAH', 'BUKIT MERAH')"	150011
342	"('11', 'JOO SENG RD', 'TOA PAYOH')"	360011
343	"('11', 'LOR 8 TOA PAYOH', 'TOA PAYOH')"	310011
344	"('11', 'MARSILING DR', 'WOODLANDS')"	730011
345	"('11', 'PINE CL', 'GEYLANG')"	391011
346	"('11', 'REDHILL CL', 'BUKIT MERAH')"	151011
347	"('11', 'SHORT ST', 'CENTRAL AREA')"	
348	"('11', ""ST. GEORGE'S RD"", 'KALLANG/WHAMPOA')"	320011
349	"('11', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680011
350	"('11', 'TOH YI DR', 'BUKIT TIMAH')"	590011
351	"('11', 'UPP BOON KENG RD', 'KALLANG/WHAMPOA')"	380011
352	"('110', 'ALJUNIED CRES', 'GEYLANG')"	380110
353	"('110', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560110
354	"('110', 'BEDOK NTH RD', 'BEDOK')"	460110
355	"('110', 'BEDOK RESERVOIR RD', 'BEDOK')"	470110
356	"('110', 'BISHAN ST 12', 'BISHAN')"	570110
357	"('110', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650110
358	"('110', 'BT MERAH VIEW', 'BUKIT MERAH')"	150110
359	"('110', 'BT PURMEI RD', 'BUKIT MERAH')"	90110
360	"('110', ""C'WEALTH CRES"", 'QUEENSTOWN')"	141110
361	"('110', 'CLEMENTI ST 13', 'CLEMENTI')"	120110
362	"('110', 'DEPOT RD', 'BUKIT MERAH')"	100110
363	"('110', 'GANGSA RD', 'BUKIT PANJANG')"	670110
364	"('110', 'HOUGANG AVE 1', 'HOUGANG')"	530110
365	"('110', 'JURONG EAST ST 13', 'JURONG EAST')"	600110
